Latitude,Longitude,Filename,Path
26.35,74.6028,ajmer_tile_26.350000_74.602800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.602800.jpg
26.35,74.604,ajmer_tile_26.350000_74.604000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.604000.jpg
26.35,74.6052,ajmer_tile_26.350000_74.605200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.605200.jpg
26.35,74.6064,ajmer_tile_26.350000_74.606400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.606400.jpg
26.35,74.6076,ajmer_tile_26.350000_74.607600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.607600.jpg
26.35,74.6088,ajmer_tile_26.350000_74.608800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.608800.jpg
26.35,74.61,ajmer_tile_26.350000_74.610000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.610000.jpg
26.35,74.6112,ajmer_tile_26.350000_74.611200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.611200.jpg
26.35,74.6124,ajmer_tile_26.350000_74.612400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.612400.jpg
26.35,74.6136,ajmer_tile_26.350000_74.613600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.613600.jpg
26.35,74.6148,ajmer_tile_26.350000_74.614800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.614800.jpg
26.35,74.616,ajmer_tile_26.350000_74.616000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.616000.jpg
26.35,74.6172,ajmer_tile_26.350000_74.617200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.617200.jpg
26.35,74.6184,ajmer_tile_26.350000_74.618400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.618400.jpg
26.35,74.6196,ajmer_tile_26.350000_74.619600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.619600.jpg
26.35,74.6208,ajmer_tile_26.350000_74.620800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.620800.jpg
26.35,74.622,ajmer_tile_26.350000_74.622000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.622000.jpg
26.35,74.6232,ajmer_tile_26.350000_74.623200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.623200.jpg
26.35,74.6244,ajmer_tile_26.350000_74.624400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.624400.jpg
26.35,74.6256,ajmer_tile_26.350000_74.625600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.625600.jpg
26.35,74.6268,ajmer_tile_26.350000_74.626800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.626800.jpg
26.35,74.628,ajmer_tile_26.350000_74.628000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.628000.jpg
26.35,74.6292,ajmer_tile_26.350000_74.629200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.629200.jpg
26.35,74.6304,ajmer_tile_26.350000_74.630400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.630400.jpg
26.35,74.6316,ajmer_tile_26.350000_74.631600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.631600.jpg
26.35,74.6328,ajmer_tile_26.350000_74.632800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.632800.jpg
26.35,74.634,ajmer_tile_26.350000_74.634000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.634000.jpg
26.35,74.6352,ajmer_tile_26.350000_74.635200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.635200.jpg
26.35,74.6364,ajmer_tile_26.350000_74.636400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.636400.jpg
26.35,74.6376,ajmer_tile_26.350000_74.637600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.637600.jpg
26.35,74.6388,ajmer_tile_26.350000_74.638800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.638800.jpg
26.35,74.64,ajmer_tile_26.350000_74.640000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.640000.jpg
26.35,74.6412,ajmer_tile_26.350000_74.641200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.641200.jpg
26.35,74.6424,ajmer_tile_26.350000_74.642400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.642400.jpg
26.35,74.6436,ajmer_tile_26.350000_74.643600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.643600.jpg
26.35,74.6448,ajmer_tile_26.350000_74.644800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.644800.jpg
26.35,74.646,ajmer_tile_26.350000_74.646000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.646000.jpg
26.35,74.6472,ajmer_tile_26.350000_74.647200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.647200.jpg
26.35,74.6484,ajmer_tile_26.350000_74.648400.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.648400.jpg
26.35,74.6496,ajmer_tile_26.350000_74.649600.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.649600.jpg
26.35,74.6508,ajmer_tile_26.350000_74.650800.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.650800.jpg
26.35,74.652,ajmer_tile_26.350000_74.652000.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.652000.jpg
26.35,74.6532,ajmer_tile_26.350000_74.653200.jpg,D:/PathSculptor/AjmerSatellite\ajmer_tile_26.350000_74.653200.jpg
